date,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345,T2400
20170111,3312.149445,3222.233275,3127.44199,3038.75474,2999.464735,2976.03137,2945.65835,2899.596175,2900.3025,2884.96076,2853.65845,2835.916725,2828.259725,2808.341265,2780.90954,2755.62092,2767.171685,2768.77082,2756.72615,2731.634275,2763.12858,2793.842365,2815.739485,2881.677465,2922.42135,3039.35305,3177.59648,3275.32868,3373.28489,3498.0444,3568.912975,3718.24756,3835.091575,4030.62637,4235.623735,4410.4738,4538.30352,4635.40245,4736.5708,4774.12905,4846.752465,4898.45232,4896.471665,4933.63709,4940.791825,4975.494185,4929.192325,4863.328825,4763.590415,4706.648365,4646.99967,4621.2693,4553.93995,4543.559585,4507.9723,4505.95355,4474.7204,4501.11387,4458.843525,4463.2596,4466.19073,4443.5718,4461.00145,4422.49985,4448.43865,4464.0063,4521.892365,4526.381685,4510.568935,4547.3042,4552.75853,4573.59735,4640.31262,4720.786075,4760.96813,4779.23435,4720.64652,4742.09942,4760.02345,4714.41395,4719.61995,4691.435825,4678.3415,4617.897085,4623.90745,4523.1096,4444.63713,4359.76983,4246.7774,4110.92075,4006.3761,3930.6231,3814.14455,3695.92655,3594.28738,3479.96343,3368.276965
20170112,3368.276965,3249.20824,3174.95415,3142.26845,3109.93805,3063.90257,3041.346815,3001.071565,2969.065685,2962.36125,2928.5726,2891.10726,2855.105775,2830.04164,2822.89346,2817.2193,2819.172975,2817.255875,2796.604965,2785.62192,2785.82883,2811.6941,2865.54067,2924.16954,2946.34995,3062.71355,3186.60875,3302.75157,3430.395755,3544.96585,3617.23653,3716.82655,3898.60753,4075.994475,4252.726965,4418.13042,4512.86195,4610.86965,4656.951015,4723.352215,4726.342815,4727.212065,4767.31983,4780.571665,4826.78622,4836.9459,4800.33518,4710.06333,4585.04675,4518.60375,4468.8171,4443.0987,4331.84743,4328.65505,4254.9075,4269.7199,4217.756515,4222.69585,4187.196915,4184.184085,4198.7568,4183.925685,4188.1263,4159.17125,4205.9559,4183.2034,4257.01745,4249.739215,4274.0937,4345.346835,4372.871375,4373.5948,4438.761,4541.798285,4640.66089,4677.732265,4663.2042,4659.321835,4668.425685,4616.85902,4624.019265,4630.26238,4618.175435,4548.7273,4507.31585,4455.89007,4390.7632,4319.501135,4223.187,4088.75782,3951.354285,3887.1435,3768.100805,3665.5769,3557.617,3465.91863,3339.468025
20170113,3339.468025,3280.32435,3192.439945,3122.610385,3054.844225,3068.559375,2991.50174,2949.138865,2933.01385,2902.69878,2851.420155,2819.80786,2865.128085,2850.311695,2850.30362,2803.50586,2825.2791,2839.51447,2824.49383,2823.012875,2850.450205,2821.052835,2878.32767,2914.75257,2977.378375,3084.081045,3206.102275,3303.67421,3425.84934,3501.76289,3601.785825,3700.71664,3874.80585,4075.490215,4228.184,4388.181765,4514.76005,4562.601385,4699.424565,4700.09935,4736.8805,4748.51325,4775.324815,4744.348735,4742.63978,4786.03445,4772.61095,4721.361775,4594.58475,4537.56195,4462.122165,4361.47223,4331.9886,4318.46155,4303.92085,4307.227135,4240.6176,4255.2419,4236.17388,4212.64485,4227.87905,4198.2115,4184.2845,4163.72935,4222.80415,4225.508135,4324.17827,4324.763185,4383.02355,4374.142,4404.87545,4427.1824,4467.740085,4554.03685,4630.01291,4617.446215,4590.20658,4600.085535,4607.9636,4563.553665,4569.27732,4591.93957,4512.57562,4473.26595,4438.947865,4406.722535,4329.294685,4254.3831,4172.55295,4037.93415,3940.053085,3847.73085,3740.342945,3662.08907,3599.33549,3435.79375,3317.090585
20170114,3317.090585,3215.46329,3183.14695,3084.40091,3021.83638,2988.68746,2992.424,2946.2692,2894.77521,2889.360495,2886.682825,2825.47955,2811.55426,2814.333675,2779.637585,2793.1235,2788.122225,2766.503645,2756.057635,2766.345755,2794.84319,2765.33657,2815.20093,2857.106475,2885.1291,2968.108465,3041.4421,3094.725225,3202.27672,3280.88865,3350.06005,3443.891265,3595.78895,3847.46618,3905.7445,4042.01573,4163.44416,4251.849735,4363.05645,4409.129075,4470.98158,4488.830275,4544.64458,4580.92945,4555.62335,4565.106725,4596.305485,4564.24536,4458.59985,4378.542115,4333.16375,4277.797085,4203.00425,4222.29305,4170.025,4165.16765,4122.635865,4075.548735,4093.7096,4139.11865,4105.72235,4091.6652,4013.4859,4060.292115,4045.87425,4106.204285,4107.947535,4156.677215,4200.910165,4259.96055,4343.2746,4365.11795,4450.53017,4508.2497,4569.433215,4588.43692,4600.823115,4571.54535,4554.160825,4581.5441,4560.189715,4553.49535,4494.55108,4447.4307,4432.46668,4361.97915,4300.77103,4189.382675,4143.46775,4024.0651,3929.5895,3795.233565,3715.86325,3634.335865,3514.10567,3429.900045,3351.56656
20170115,3351.56656,3277.487935,3169.487375,3119.859375,3082.82676,2998.76145,2960.54485,2927.15083,2913.28748,2858.89694,2847.59327,2842.781805,2796.23874,2811.35039,2785.42926,2758.75782,2742.68173,2755.15048,2760.31221,2738.1907,2779.863305,2803.305695,2831.65873,2850.44935,2849.62095,2946.15919,3018.924915,3052.270675,3126.14961,3201.17643,3275.71552,3353.3613,3499.20321,3641.81151,3744.354985,3915.41265,4015.42732,4108.62707,4256.65835,4287.8098,4386.378,4409.643975,4464.570885,4513.550225,4540.80753,4628.39905,4621.894685,4580.34292,4508.4169,4437.62765,4384.61043,4379.968065,4356.560825,4326.80464,4328.933875,4294.43282,4254.96089,4245.873285,4173.5951,4165.919765,4153.8655,4149.62223,4146.59743,4121.931725,4147.830815,4158.4027,4214.259375,4268.969685,4297.7962,4359.52435,4379.14945,4475.754285,4472.02107,4557.7713,4628.64985,4632.17777,4614.853,4619.29995,4611.00873,4591.00515,4601.05083,4609.24895,4587.92012,4490.4885,4452.98535,4387.220175,4320.57245,4229.3525,4169.264715,4049.7132,3912.49235,3808.6108,3687.497865,3634.91546,3538.660035,3379.72665,3306.488015
20170116,3306.488015,3221.906,3136.93686,3041.920615,2993.34607,2940.1645,2961.819085,2906.38307,2873.98522,2849.75604,2827.26308,2810.98255,2791.041765,2786.251675,2759.474025,2766.85486,2743.37941,2724.17136,2736.827735,2725.97142,2744.23593,2789.889035,2826.715975,2883.72196,2912.571275,3062.6727,3134.00573,3202.170985,3309.2642,3418.34225,3523.585055,3668.9437,3824.102735,4042.69555,4214.963515,4410.5479,4535.4102,4646.06905,4716.6873,4753.3155,4794.233425,4832.8818,4847.32028,4917.979,4882.85712,4945.10853,4913.7762,4894.83605,4798.515835,4726.6034,4711.809335,4641.20125,4579.72675,4597.52918,4550.5627,4550.34895,4512.97823,4513.09755,4513.092325,4490.1313,4480.727915,4496.8155,4460.11605,4454.48825,4480.527465,4522.87628,4563.9045,4568.2802,4553.2341,4634.75037,4598.1938,4579.2071,4650.51125,4705.913635,4749.5516,4737.490875,4736.867485,4758.655735,4711.150225,4711.741125,4683.49335,4660.87005,4636.54872,4569.877625,4565.43495,4466.79645,4397.2023,4279.801015,4217.71595,4111.61235,3968.56002,3849.71255,3769.060495,3667.790875,3592.7822,3465.231685,3354.055465
20170117,3354.055465,3255.86945,3157.970715,3093.412705,3045.3295,3021.606765,2972.21047,2936.11788,2901.99065,2894.15714,2873.445715,2846.74853,2844.962625,2845.46223,2815.05691,2794.90931,2798.71995,2788.7364,2804.80261,2800.75979,2822.1802,2835.26132,2861.4342,2917.41827,2970.40186,3062.78119,3165.06674,3264.475785,3381.505525,3461.47548,3535.3433,3652.2636,3851.85499,4020.947865,4194.9929,4393.86875,4512.091785,4618.35185,4687.13717,4735.313475,4783.813635,4817.31035,4840.96725,4913.134665,4875.74105,4930.9864,4914.98783,4844.16875,4742.9757,4686.73133,4645.61457,4598.35245,4526.89288,4518.786815,4535.02735,4502.734,4447.8012,4434.579575,4454.7039,4432.97132,4401.1296,4437.027915,4408.57988,4405.38655,4422.8143,4478.726265,4535.222575,4529.45085,4568.502215,4614.875515,4584.91983,4598.92625,4649.51432,4701.818565,4759.091785,4776.296,4728.1082,4700.82078,4723.18568,4702.45687,4674.20083,4679.30993,4628.750265,4598.679535,4532.14505,4491.373615,4387.18113,4274.52215,4227.47036,4105.92964,3997.04102,3903.7951,3799.08458,3722.97001,3551.81763,3464.4296,3341.289175
20170118,3341.289175,3284.29307,3184.67322,3105.44607,3035.20573,3001.712435,2958.9308,2930.2731,2913.00153,2894.175475,2857.7007,2827.46277,2837.024235,2820.24961,2834.51937,2785.65099,2775.498245,2795.90662,2754.85598,2765.96965,2772.61908,2798.878125,2842.172475,2905.8011,2963.38915,3027.61846,3139.95425,3230.924445,3331.231335,3418.0487,3525.13897,3666.16229,3833.032925,4063.20377,4237.536275,4340.05277,4443.281765,4525.80418,4626.1504,4655.3382,4750.3876,4749.46097,4782.61635,4829.1008,4843.65765,4839.604,4856.71407,4807.892525,4707.66097,4644.37653,4607.26535,4511.7248,4485.18522,4442.487565,4436.2663,4430.03525,4422.26387,4393.968975,4373.14317,4343.38575,4412.0622,4333.7214,4369.14215,4355.518485,4381.052585,4421.308835,4446.345135,4471.628625,4487.615415,4529.82325,4505.08145,4527.0901,4538.326225,4618.03075,4688.0828,4690.413435,4686.377835,4692.028625,4690.330025,4657.917735,4648.82785,4653.170965,4614.368025,4564.13915,4538.2051,4463.03635,4369.00592,4281.5531,4231.4995,4100.012565,3998.85153,3870.062025,3742.127425,3701.297375,3565.24835,3436.1956,3295.37539
20170119,3295.37539,3233.617505,3180.349485,3137.01362,3046.542175,3010.635785,2945.897085,2932.26943,2906.361695,2888.975935,2884.4375,2820.86103,2820.973985,2800.941145,2785.844125,2782.05277,2766.8028,2769.67446,2763.80346,2750.45064,2772.20317,2781.34673,2837.45677,2887.18433,2879.93545,3030.19011,3115.961715,3197.0388,3308.25397,3381.9449,3489.270485,3591.75544,3788.422825,3985.44532,4091.9407,4237.49305,4388.9335,4484.17385,4524.64195,4526.22123,4568.162685,4626.72135,4627.45418,4664.3214,4622.91242,4659.381685,4653.581935,4615.3945,4482.844515,4459.340375,4395.30762,4312.0614,4242.483875,4218.860035,4246.944885,4192.461815,4201.099025,4168.362975,4183.199315,4145.332885,4179.41385,4150.66362,4111.1421,4090.9033,4105.946835,4155.330115,4195.98166,4241.04263,4250.233215,4321.009165,4327.80575,4357.60725,4406.251715,4508.550185,4594.142525,4640.383585,4566.36785,4644.94045,4611.19702,4597.649735,4607.293565,4605.725685,4556.78805,4518.05085,4484.92625,4416.351925,4379.77322,4290.287685,4216.999935,4097.09863,4029.582225,3893.6301,3821.35828,3719.42328,3563.60257,3476.04981,3387.2269
20170120,3387.2269,3298.28657,3162.6887,3117.475825,3070.95765,3005.67384,2954.626635,2943.68102,2935.727715,2894.487835,2890.9963,2848.3052,2848.94379,2810.2786,2791.74619,2822.0947,2813.55724,2804.853435,2753.13382,2786.557575,2782.07101,2838.728535,2824.446235,2862.445285,2907.2223,3008.927115,3110.4121,3188.82719,3351.47479,3415.80993,3561.68129,3643.00851,3826.736135,3989.39485,4195.37195,4327.698115,4476.123075,4558.57785,4614.26305,4681.28365,4747.54938,4775.2244,4790.23915,4827.430985,4822.50058,4895.46552,4835.747,4831.52558,4761.428785,4743.004865,4703.422165,4631.7383,4582.6993,4587.56995,4509.55785,4515.95857,4484.3952,4411.9634,4428.39935,4422.528825,4390.54052,4356.32855,4377.0585,4370.32148,4382.70112,4434.46643,4472.135165,4489.474565,4504.07388,4546.886485,4563.106975,4583.13915,4569.1808,4645.31209,4712.95228,4724.8687,4687.77823,4687.885865,4684.42777,4659.31965,4632.1449,4659.68597,4618.504325,4563.335165,4498.635035,4460.4685,4371.12347,4314.39745,4233.71395,4165.018025,4044.96415,3943.05195,3838.70946,3714.87639,3601.937065,3462.62555,3369.936425
