日期,max_temp,min_temp,ave_temp,T0100
20170704,37,24,30.5,4349.822
20170705,30,21,25.5,4342.22485
20170706,30,21,25.5,3357.4349
20170707,34,21,27.5,2932.159895
20170708,36,21,28.5,3456.56227
20170709,36,22,29,3272.17183
20170710,40,23,31.5,3637.44721
20170711,39,23,31,4366.9771
20170712,39,24,31.5,4730.539696
20170713,39,24,31.5,4721.683734
20170714,38,25,31.5,4719.645076
20170715,37,22,29.5,4642.188194
20170716,35,22,28.5,4451.569185
20170717,37,24,30.5,3910.8042
20170718,37,24,30.5,4236.095885
20170719,37,24,30.5,4772.2585
20170720,39,27,33,4707.180955
20170721,39,26,32.5,4707.414009
20170722,38,26,32,4721.668274
20170723,41,26,33.5,4714.04188
20170724,40,25,32.5,4709.403052
20170725,40,26,33,3700.904863
20170726,39,27,33,4709.403052
20170727,42,25,33.5,4000.570056
20170728,35,18,26.5,4217.526425
20170729,26,17,21.5,3072.716575
20170730,32,21,26.5,2617.934475
20170731,32,20,26,2950.89874
20170801,32,21,26.5,3389.764255
20170802,32,22,27,3586.66838
20170803,37,25,31,4042.139135
20170804,39,24,31.5,4254.49007
20170805,39,25,32,4681.771
20170806,39,17,28,4298.104763
20170807,29,17,23,3958.05435
20170808,32,19,25.5,2647.798865
20170809,35,22,28.5,3104.856975
20170810,37,23,30,3503.78278
20170811,36,22,29,3968.01985
20170812,34,21,27.5,4081.26175
20170813,35,22,28.5,3927.567615
20170814,34,23,28.5,2994.7724
20170815,34,23,28.5,3453.95585
20170816,35,23,29,3791.04625
20170817,36,23,29.5,4052.416615
20170818,35,22,28.5,4153.6907
20170819,34,22,28,3441.246465
20170820,31,21,26,3445.12674
20170821,32,23,27.5,2736.495615
20170822,32,20,26,3255.505695
20170823,29,21,25,2699.4041
20170824,30,19,24.5,2960.74017
20170825,26,19,22.5,3091.32755
20170826,29,21,25,2501.348575
20170827,32,21,26.5,2397.596795
20170828,32,21,26.5,2381.158565
20170829,22,15,18.5,2328.273965
20170830,18,14,16,2196.2632
20170831,24,17,20.5,2213.71755
20170901,22,16,19,2269.976075
20170902,22,15,18.5,2232.832405
20170903,21,16,18.5,2272.00803
20170904,20,16,18,2121.2854
20170905,20,16,18,2183.496625
20170906,27,20,23.5,2185.247
20170907,28,19,23.5,2254.39826
20170908,24,18,21,2319.40182
20170909,22,17,19.5,2333.40273
20170910,26,18,22,2143.67614
20170911,27,17,22,2150.93756
20170912,28,17,22.5,2265.411135
20170913,28,18,23,2321.80304
20170914,27,17,22,2409.631205
20170915,26,17,21.5,2402.4835
20170916,23,17,20,2418.95517
20170917,25,18,21.5,2256.408365
20170918,27,19,23,2237.75825
20170919,26,17,21.5,2340.89785
20170920,27,17,22,2337.53105
20170921,29,17,23,2435.41848
20170922,27,17,22,2434.072995
20170923,29,18,23.5,2371.369575
20170924,26,18,22,2389.12726
20170925,22,17,19.5,2251.378685
20170926,21,15,18,2280.226385
20170927,19,15,17,2178.01902
20170928,23,16,19.5,2198.96405
20170929,25,17,21,2203.07755
20170930,24,16,20,2228.15375
20171001,23,16,19.5,2036.85149
20171002,21,14,17.5,1906.662065
20171003,18,12,15,1858.627785
20171004,12,11,11.5,1835.171905
20171005,18,11,14.5,1869.31272
20171006,20,14,17,2040.866
20171007,22,15,18.5,2086.7377
20171008,22,12,17,2117.60605
20171009,17,9,13,2097.270635
20171010,11,9,10,2278.284585
20171011,11,10,10.5,2340.84921
20171012,16,10,13,2491.53156
20171013,13,10,11.5,2402.291885
20171014,16,10,13,2447.580095
20171015,14,9,11.5,2427.37103
20171016,10,9,9.5,2325.90476
20171017,11,9,10,2461.6552
20171018,16,11,13.5,2514.58692
20171019,19,10,14.5,2441.270385
20171020,19,11,15,2439.70621
20171021,20,13,16.5,2414.512875
20171022,19,12,15.5,2364.72879
20171023,18,10,14,2277.093
20171024,19,11,15,2315.16482
20171025,15,10,12.5,2364.656875
20171026,20,10,15,2414.02448
20171027,19,11,15,2372.002275
20171028,16,9,12.5,2399.127815
20171029,14,8,11,2344.683695
20171030,10,7,8.5,2324.51339
20171031,13,8,10.5,2449.30178
20171101,17,10,13.5,2470.0076
20171102,19,11,15,2532.00023
20171103,18,8,13,2464.921585
20171104,19,7,13,2508.733115
20171105,17,9,13,2512.592775
20171106,18,9,13.5,2421.304425
20171107,18,8,13,2443.846975
20171108,20,10,15,2420.9648
20171109,16,9,12.5,2457.87135
20171110,14,6,10,2549.25451
20171111,11,5,8,2698.5871
20171112,12,4,8,2762.847
20171113,14,3,8.5,2678.03442
20171114,11,4,7.5,2780.72448
20171115,10,3,6.5,2878.995425
20171116,12,7,9.5,2963.18129
20171117,12,1,6.5,2960.492885
20171118,9,2,5.5,2941.43009
20171119,5,1,3,2954.600415
20171120,8,3,5.5,2953.88725
20171121,10,2,6,3020.75091
20171122,10,0,5,3045.07167
20171123,11,1,6,3078.248425
20171124,10,1,5.5,3026.98253
20171125,14,-2,6,3128.074215
20171126,13,1,7,3038.2349
20171127,9,2,5.5,2913.49458
20171128,12,1,6.5,3061.28988
20171129,6,0,3,2969.397995
20171130,9,-1,4,3061.118215
20171201,7,-2,2.5,3069.808815
20171202,10,0,5,3155.451885
20171203,12,1,6.5,3103.53106
20171204,7,-1,3,2957.46362
20171205,7,-2,2.5,3160.092635
20171206,9,-1,4,3165.15946
20171207,8,-2,3,3175.775805
20171208,5,-2,1.5,3210.881725
20171209,10,-1,4.5,3265.1215
20171210,8,-1,3.5,3176.579885
20171211,7,-1,3,3111.09781
20171212,8,-1,3.5,3204.7376
20171213,4,-2,1,3258.9484
20171214,3,-2,0.5,3344.262295
20171215,8,-2,3,3336.42831
20171216,5,-3,1,3348.3358
20171217,5,-2,1.5,3323.301115
20171218,7,-2,2.5,3260.25845
20171219,8,-1,3.5,3388.897475
20171220,10,-1,4.5,3381.01523
20171221,9,-1,4,3279.55447
20171222,9,0,4.5,3331.46285
20171223,10,-2,4,3346.89218
20171224,8,-3,2.5,3229.5212
20171225,6,-1,2.5,3204.56223
20171226,11,-1,5,3292.148715
20171227,10,-1,4.5,3255.24207
20171228,7,-2,2.5,3270.836985
20171229,8,-1,3.5,3316.202715
20171230,8,-2,3,3255.22003
20171231,8,-2,3,3173.14516
20180101,9,-1,4,3192.948575
20180102,4,-2,1,3020.8689
